user_id	basket_id	item_id
0	0	102
0	0	280
0	0	281
0	0	202
0	0	282
0	1	283
0	1	284
0	1	285
0	1	286
0	1	287
0	1	288
0	1	289
0	1	290
0	2	291
0	2	292
0	2	293
0	2	294
0	2	295
0	2	296
0	2	297
0	2	298
0	2	299
0	2	300
0	2	301
0	2	302
0	2	303
0	2	304
0	3	305
0	3	306
0	3	307
1	0	138
1	0	469
1	0	470
1	0	471
1	0	472
1	0	473
1	0	234
1	0	474
1	0	475
1	0	476
1	0	477
1	0	478
1	0	6
1	0	479
1	0	480
1	0	481
1	1	482
1	2	369
1	2	266
1	2	374
1	2	483
1	2	484
1	2	485
1	3	486
1	3	487
1	3	488
1	3	489
1	3	490
1	3	491
1	3	492
1	3	493
1	3	494
1	3	495
1	3	496
1	3	266
1	3	497
1	3	498
1	3	435
1	3	145
1	3	499
1	3	484
1	3	500
1	3	501
1	3	261
1	3	502
1	3	503
1	3	235
1	4	504
1	4	505
1	4	506
1	4	507
1	4	46
1	4	86
1	4	266
1	5	290
1	5	508
1	5	509
1	5	479
1	5	510
1	5	511
1	5	512
1	6	469
1	6	67
1	6	493
1	6	356
1	6	492
1	6	266
1	7	493
1	7	484
1	7	266
1	7	513
1	7	514
1	8	515
1	8	516
1	9	266
1	9	261
1	9	67
1	9	517
1	9	518
1	9	495
1	9	519
1	9	497
1	9	468
1	10	520
1	10	521
1	10	266
1	11	495
1	11	86
1	11	501
1	11	522
1	11	34
1	11	493
1	11	309
1	11	523
1	12	524
1	12	435
1	12	525
1	12	266
1	12	513
1	12	176
1	13	495
1	13	46
1	13	266
1	13	513
1	13	526
1	14	527
1	14	374
1	14	521
1	15	528
1	15	495
1	15	529
1	15	470
1	15	116
1	15	493
1	15	518
1	15	530
1	15	531
1	15	266
1	16	482
1	16	532
1	16	533
1	16	534
1	16	145
1	17	535
1	17	536
1	17	537
1	17	434
1	17	495
1	18	46
1	18	145
1	18	170
1	18	266
1	18	538
1	19	266
1	19	539
1	20	540
1	20	37
1	20	495
1	20	484
1	20	435
1	20	86
1	20	498
1	20	34
1	20	524
1	21	495
1	21	541
1	21	46
1	21	9
1	21	145
1	22	542
1	22	543
1	23	266
1	23	495
1	23	544
2	0	111
2	0	545
2	0	546
2	0	547
2	0	548
2	1	549
2	1	550
2	1	551
2	1	552
2	2	553
2	2	554
2	2	555
2	2	527
2	2	556
2	2	557
2	2	315
2	2	558
2	2	418
2	2	559
2	2	49
2	2	196
2	2	560
2	2	1
2	3	561
2	4	562
2	4	563
2	4	564
2	4	565
2	4	566
2	4	567
2	4	568
2	4	569
2	4	570
2	4	135
2	4	571
2	4	572
2	4	573
2	4	574
2	4	491
2	4	575
2	4	576
2	4	577
2	4	578
2	4	552
2	4	579
2	4	580
2	5	581
2	5	582
2	5	583
2	5	584
2	5	585
2	5	586
2	6	587
2	6	588
2	6	59
2	6	589
2	7	590
2	7	591
2	8	592
2	8	244
2	8	593
2	8	594
2	8	366
2	8	595
2	9	596
2	10	9
2	11	597
2	11	39
2	11	176
2	12	598
2	12	582
2	12	599
2	12	600
2	12	601
2	13	602
2	14	256
2	14	603
2	15	349
2	16	90
2	16	77
2	16	604
2	16	605
2	16	457
2	16	606
2	16	607
2	16	608
2	17	609
2	17	610
2	17	611
2	17	612
2	17	613
2	17	614
2	17	615
2	17	445
2	17	616
2	18	617
2	18	590
2	18	618
2	18	619
2	19	620
2	20	590
2	21	621
2	22	622
2	22	369
2	23	623
2	23	624
2	23	625
2	23	626
2	23	381
2	23	627
2	23	628
2	23	629
2	24	238
2	24	630
2	25	631
2	26	632
2	27	633
2	27	634
2	27	635
2	27	142
2	27	120
2	27	636
2	28	637
2	28	638
2	28	639
2	29	640
2	29	34
2	29	641
2	29	642
2	29	643
2	29	644
2	29	645
2	29	490
2	29	43
2	30	646
2	30	647
2	30	648
2	30	649
2	30	650
2	30	651
2	31	124
2	31	652
2	31	653
2	31	654
2	31	590
2	31	655
2	31	656
2	31	215
2	31	121
2	31	657
2	31	658
2	31	119
2	32	44
2	33	659
2	33	660
2	33	402
2	33	522
2	33	661
2	33	662
2	33	663
2	33	664
2	33	665
2	33	236
2	33	666
2	33	311
2	33	667
2	33	668
2	33	669
2	34	670
2	35	671
2	35	672
2	35	673
2	35	674
2	35	675
2	35	676
2	35	677
2	35	678
2	36	679
2	36	680
2	36	681
2	36	682
2	36	635
2	37	682
2	38	682
2	38	468
2	39	682
2	40	683
2	40	682
2	40	684
2	40	685
2	41	682
2	42	682
2	43	582
2	43	686
2	43	595
3	0	1116
3	0	9
3	0	211
3	0	1117
3	0	1
3	0	1118
3	0	162
3	0	219
3	0	1119
3	0	282
3	0	1120
3	0	46
3	1	474
3	1	1121
3	1	1122
3	1	567
3	1	1123
3	1	884
3	1	1124
3	1	1125
3	1	219
3	2	219
3	2	1126
3	2	282
3	2	1127
3	2	1128
3	2	1129
3	2	774
3	2	35
3	2	1130
3	3	1131
3	3	974
3	3	1132
3	3	77
3	3	1133
3	3	1134
3	3	158
3	3	1135
3	3	1136
3	3	1137
3	3	1138
3	3	1139
3	4	225
3	4	1140
3	4	751
3	4	1141
3	4	884
3	4	219
3	4	1142
3	4	1143
3	5	219
3	5	282
3	5	1140
3	6	1144
3	6	1145
3	6	1146
3	6	173
3	6	611
3	6	594
3	6	897
3	6	1147
3	6	1148
3	6	1149
3	6	1150
3	6	1151
3	6	111
3	6	1016
3	6	219
3	6	1152
3	6	217
3	6	1153
3	6	1140
3	7	450
3	7	1154
3	7	1155
3	7	219
3	7	1156
3	7	594
3	7	1157
3	7	1158
3	7	282
3	7	1159
3	7	1160
3	8	1161
3	8	1126
3	8	1162
3	9	1126
3	9	799
3	9	1163
3	9	1164
3	9	1165
3	9	594
3	9	1166
3	9	1167
3	9	1168
3	9	1169
3	9	457
3	10	219
3	11	87
3	11	1013
3	11	109
3	11	99
3	11	1170
3	11	206
3	11	594
3	11	1171
3	12	219
3	12	1118
3	12	1126
3	12	1172
3	12	9
3	13	1140
3	13	999
3	13	1173
3	13	1174
3	13	1175
3	14	1176
3	14	1177
3	14	1178
3	14	1179
3	14	1180
3	14	1181
3	14	1182
3	14	1183
3	14	1184
3	14	1185
3	14	1186
3	14	794
3	15	1187
3	15	1019
3	15	1140
3	15	1131
3	15	1188
3	15	1189
3	15	162
3	15	1190
3	15	594
3	15	1191
3	15	1192
3	16	1193
3	16	931
3	16	219
3	16	282
3	16	621
3	16	1181
3	17	1194
3	17	1195
3	17	1196
3	17	1172
3	17	1197
3	17	1198
3	17	1199
3	17	1200
3	18	1058
3	18	162
3	19	282
3	19	1201
3	19	1202
3	19	31
3	19	1019
3	19	1203
3	19	751
3	19	1192
4	0	1403
4	0	134
4	0	1404
4	0	1405
4	0	1406
4	0	1407
4	0	1408
4	0	1409
4	0	1410
4	0	1411
4	0	1412
4	0	676
4	0	1
4	0	1413
4	1	346
4	1	1414
4	1	1415
4	1	1416
4	2	771
4	3	1417
4	3	1418
4	3	447
4	3	1419
4	4	1255
4	4	1420
4	4	1421
4	4	1398
4	4	30
4	5	273
4	5	271
4	5	1422
4	5	128
4	5	1423
4	5	523
4	6	30
4	6	1424
4	7	1425
4	7	1394
4	7	1426
4	7	1427
4	7	578
4	7	1428
4	7	1281
4	7	1429
4	7	1430
4	7	1409
4	7	997
4	7	1431
4	7	1419
4	7	1432
4	7	1433
4	7	1434
4	7	523
4	7	1181
4	7	1435
4	7	1436
4	7	851
4	8	1437
4	8	1193
4	8	1438
4	8	1439
4	8	1440
4	8	1441
4	9	1442
4	9	1443
4	9	1444
4	9	1445
4	9	1446
4	9	1447
4	9	1448
4	10	1449
4	10	1450
4	10	1451
4	10	1452
4	10	1453
4	10	778
4	11	40
4	11	1083
4	11	1444
4	11	1454
4	11	1431
4	11	1455
4	11	9
4	11	447
4	11	336
4	11	851
4	11	46
5	0	1356
5	0	1854
5	0	2049
5	0	846
5	0	380
5	0	2050
5	0	420
5	0	1246
5	1	475
5	1	2051
5	1	2052
5	1	671
5	1	746
5	1	2053
5	2	1788
5	2	2054
5	2	771
5	2	2055
5	2	2056
5	3	2057
5	3	2058
5	3	2059
5	3	323
5	4	2060
5	5	829
5	6	2061
5	6	2062
5	6	1988
5	6	2063
5	6	831
5	7	2064
5	7	2065
5	7	2066
5	7	1423
5	7	2067
5	7	2068
5	8	2069
5	9	717
5	9	2070
5	9	2071
5	9	2072
5	9	855
5	9	2073
5	9	2074
5	9	9
5	9	2075
5	9	2076
5	10	2077
5	11	746
5	11	2078
5	11	380
5	11	2079
5	11	2080
5	11	2081
5	11	46
5	11	2082
5	11	2083
5	11	2084
5	11	727
5	11	2085
5	12	2086
5	12	2087
5	12	2088
5	12	1355
5	12	2089
5	13	1337
5	13	2090
5	13	2091
5	14	2092
5	14	2093
5	14	2094
5	14	2095
5	14	2096
5	14	1369
5	14	2097
5	15	458
5	15	2098
5	15	505
5	15	1937
5	15	411
5	15	2099
5	15	2100
5	15	2101
5	16	1785
6	0	2310
6	1	2669
6	1	1666
6	1	2670
6	1	2209
6	1	1562
6	1	2671
6	2	1666
6	2	2672
6	2	1478
6	2	2673
6	2	2674
6	3	2675
6	3	2676
6	3	2677
6	3	2671
6	3	239
6	3	705
6	3	1126
6	3	445
6	3	2678
6	3	1300
6	3	2679
6	3	1746
6	3	2680
