session_id	item_id	timestamp
0	0	100002
0	31	100003
0	1643	100004
0	2262	100005
0	1691	100006
0	3314	100007
0	2080	100008
0	4110	100009
0	380	100010
0	193	100011
0	224	100012
0	17	100013
0	958	100014
1	1	100002
1	844	100003
1	953	100004
1	2263	100005
1	1721	100006
2	2	100002
2	934	100003
2	1644	100004
2	2264	100005
2	2817	100006
2	2224	100007
2	3732	100008
2	4111	100009
2	1289	100010
2	1958	100011
3	3	100002
3	309	100003
3	1645	100004
3	2265	100005
4	4	100002
4	935	100003
4	1646	100004
4	2266	100005
4	2818	100006
4	1363	100007
4	930	100008
4	2518	100009
4	4395	100010
4	4657	100011
4	955	100012
4	5067	100013
5	5	100002
5	86	100003
5	883	100004
5	2267	100005
5	874	100006
5	263	100007
5	2280	100008
5	4112	100009
5	2775	100010
5	409	100011
5	4874	100012
5	2295	100013
6	6	100002
6	936	100003
6	86	100004
6	417	100005
6	1843	100006
7	7	100002
7	937	100003
7	1444	100004
7	2268	100005
7	2741	100006
7	1777	100007
8	8	100002
8	938	100003
8	1647	100004
8	253	100005
8	360	100006
8	815	100007
9	9	100002
9	939	100003
9	655	100004
9	2269	100005
9	781	100006
9	1938	100007
9	764	100008
9	302	100009
10	10	100002
10	940	100003
10	1648	100004
10	2270	100005
10	526	100006
10	1860	100007
10	1543	100008
10	4113	100009
10	66	100010
10	726	100011
10	4875	100012
10	59	100013
10	5229	100014
10	154	100015
10	259	100016
10	445	100017
10	398	100018
10	4543	100019
10	2684	100020
11	11	100002
11	941	100003
11	52	100004
11	2271	100005
12	12	100002
12	942	100003
12	1649	100004
12	2272	100005
12	2819	100006
12	3315	100007
12	3733	100008
12	1487	100009
12	4396	100010
12	1136	100011
12	143	100012
12	2208	100013
12	4520	100014
13	13	100002
13	943	100003
13	52	100004
13	1482	100005
13	2820	100006
13	3316	100007
13	3577	100008
13	4114	100009
13	737	100010
14	14	100002
14	944	100003
14	1650	100004
14	2273	100005
15	15	100002
